decimalism,hexadecimal,kanji
197466,0x3035a,𰍚
197467,0x3035b,𰍛
197468,0x3035c,𰍜
197469,0x3035d,𰍝
197470,0x3035e,𰍞
197471,0x3035f,𰍟
197472,0x30360,𰍠
197473,0x30361,𰍡
197474,0x30362,𰍢
197475,0x30363,𰍣
197476,0x30364,𰍤
197477,0x30365,𰍥
197478,0x30366,𰍦
197479,0x30367,𰍧
197480,0x30368,𰍨
197481,0x30369,𰍩
197482,0x3036a,𰍪
197483,0x3036b,𰍫
197484,0x3036c,𰍬
197485,0x3036d,𰍭
197486,0x3036e,𰍮
197487,0x3036f,𰍯
197488,0x30370,𰍰
197489,0x30371,𰍱
197490,0x30372,𰍲
197491,0x30373,𰍳
197492,0x30374,𰍴
197493,0x30375,𰍵
197494,0x30376,𰍶
197495,0x30377,𰍷
197496,0x30378,𰍸
197497,0x30379,𰍹
197498,0x3037a,𰍺
197499,0x3037b,𰍻
197500,0x3037c,𰍼
197501,0x3037d,𰍽
197502,0x3037e,𰍾
197503,0x3037f,𰍿
197504,0x30380,𰎀
197505,0x30381,𰎁
197506,0x30382,𰎂
197507,0x30383,𰎃
197508,0x30384,𰎄
197509,0x30385,𰎅
197510,0x30386,𰎆
197511,0x30387,𰎇
197512,0x30388,𰎈
197513,0x30389,𰎉
197514,0x3038a,𰎊
197515,0x3038b,𰎋
197516,0x3038c,𰎌
197517,0x3038d,𰎍
197518,0x3038e,𰎎
197519,0x3038f,𰎏
197520,0x30390,𰎐
197521,0x30391,𰎑
197522,0x30392,𰎒
197523,0x30393,𰎓
197524,0x30394,𰎔
197525,0x30395,𰎕
197526,0x30396,𰎖
197527,0x30397,𰎗
197528,0x30398,𰎘
197529,0x30399,𰎙
197530,0x3039a,𰎚
197531,0x3039b,𰎛
197532,0x3039c,𰎜
197533,0x3039d,𰎝
197534,0x3039e,𰎞
197535,0x3039f,𰎟
197536,0x303a0,𰎠
197537,0x303a1,𰎡
197538,0x303a2,𰎢
197539,0x303a3,𰎣
197540,0x303a4,𰎤
197541,0x303a5,𰎥
197542,0x303a6,𰎦
197543,0x303a7,𰎧
197544,0x303a8,𰎨
197545,0x303a9,𰎩
197546,0x303aa,𰎪
197547,0x303ab,𰎫
197548,0x303ac,𰎬
197549,0x303ad,𰎭
197550,0x303ae,𰎮
197551,0x303af,𰎯
197552,0x303b0,𰎰
197553,0x303b1,𰎱
197554,0x303b2,𰎲
197555,0x303b3,𰎳
197556,0x303b4,𰎴
197557,0x303b5,𰎵
197558,0x303b6,𰎶
197559,0x303b7,𰎷
197560,0x303b8,𰎸
197561,0x303b9,𰎹
197562,0x303ba,𰎺
197563,0x303bb,𰎻
197564,0x303bc,𰎼
197565,0x303bd,𰎽
197566,0x303be,𰎾
197567,0x303bf,𰎿
197568,0x303c0,𰏀
197569,0x303c1,𰏁
197570,0x303c2,𰏂
197571,0x303c3,𰏃
197572,0x303c4,𰏄
197573,0x303c5,𰏅
197574,0x303c6,𰏆
