decimalism,hexadecimal,kanji
132016,0x203b0,𠎰
132017,0x203b1,𠎱
132018,0x203b2,𠎲
132019,0x203b3,𠎳
132020,0x203b4,𠎴
132021,0x203b5,𠎵
132022,0x203b6,𠎶
132023,0x203b7,𠎷
132024,0x203b8,𠎸
132025,0x203b9,𠎹
132026,0x203ba,𠎺
132027,0x203bb,𠎻
132028,0x203bc,𠎼
132029,0x203bd,𠎽
132030,0x203be,𠎾
132031,0x203bf,𠎿
132032,0x203c0,𠏀
132033,0x203c1,𠏁
132034,0x203c2,𠏂
132035,0x203c3,𠏃
132036,0x203c4,𠏄
132037,0x203c5,𠏅
132038,0x203c6,𠏆
132039,0x203c7,𠏇
132040,0x203c8,𠏈
132041,0x203c9,𠏉
132042,0x203ca,𠏊
132043,0x203cb,𠏋
132044,0x203cc,𠏌
132045,0x203cd,𠏍
132046,0x203ce,𠏎
132047,0x203cf,𠏏
132048,0x203d0,𠏐
132049,0x203d1,𠏑
132050,0x203d2,𠏒
132051,0x203d3,𠏓
132052,0x203d4,𠏔
132053,0x203d5,𠏕
132054,0x203d6,𠏖
132055,0x203d7,𠏗
132056,0x203d8,𠏘
132057,0x203d9,𠏙
132058,0x203da,𠏚
132059,0x203db,𠏛
132060,0x203dc,𠏜
132061,0x203dd,𠏝
132062,0x203de,𠏞
132063,0x203df,𠏟
132064,0x203e0,𠏠
132065,0x203e1,𠏡
132066,0x203e2,𠏢
132067,0x203e3,𠏣
132068,0x203e4,𠏤
132069,0x203e5,𠏥
132070,0x203e6,𠏦
132071,0x203e7,𠏧
132072,0x203e8,𠏨
132073,0x203e9,𠏩
132074,0x203ea,𠏪
132075,0x203eb,𠏫
132076,0x203ec,𠏬
132077,0x203ed,𠏭
132078,0x203ee,𠏮
132079,0x203ef,𠏯
132080,0x203f0,𠏰
132081,0x203f1,𠏱
132082,0x203f2,𠏲
132083,0x203f3,𠏳
132084,0x203f4,𠏴
132085,0x203f5,𠏵
132086,0x203f6,𠏶
132087,0x203f7,𠏷
132088,0x203f8,𠏸
132089,0x203f9,𠏹
132090,0x203fa,𠏺
132091,0x203fb,𠏻
132092,0x203fc,𠏼
132093,0x203fd,𠏽
132094,0x203fe,𠏾
132095,0x203ff,𠏿
